date,observed_case,observed_vaccine,no_information_case,no_information_vaccine,spline_beta_case,spline_beta_vaccine,semi_mechanistic_case,semi_mechanistic_vaccine,counterfactual_M_zero_case,counterfactual_M_zero_vaccine,counterfactual_C_zero_case,counterfactual_C_zero_vaccine
2021-05-19,1284285.3301533265,14600130.9761176,1280917.2709422484,13034247.036750266,1283154.5390605468,13032457.50030191,1283294.651444924,14580758.493281502,42220053.48073838,3045749.995908687,925307.2115752893,41294824.48156387
2021-05-20,1290159.208299619,14842139.558243971,1288570.1871629409,13197126.15641292,1289084.913748949,13195320.178888638,1289294.5591665118,14879558.44720938,42220055.25323535,3045749.995908687,925307.2115752993,41294824.48156724
2021-05-21,1295888.240340694,15061099.66789579,1296215.3295440953,13359014.314737797,1294839.8787042934,13357201.723899396,1295148.9691279014,15180558.091171661,42220056.82470959,3045749.995908687,925307.2115753081,41294824.481472455
2021-05-22,1301432.9830862442,15458520.25261469,1303850.4455042703,13519917.40525673,1300414.364314911,13518108.85460542,1300855.4682660995,15483697.57645717,42220058.22064151,3045749.995908687,925307.2115753163,41294824.481225416
2021-05-23,1306738.130783483,15818091.209333004,1311473.2973131556,13679841.299018428,1305803.8112518177,13678048.273846036,1306412.0006197481,15788914.421492435,42220059.462804675,3045749.995908687,925307.2115753235,41294824.481380604
2021-05-24,1311783.263963571,16143417.273325816,1319081.6677491472,13838791.844630633,1311004.2027865243,13837026.665153395,1311816.8702600976,16096143.49776227,42220060.56988665,3045749.995908687,925307.2115753302,41294824.48195316
2021-05-25,1316581.9078819235,16437759.87015061,1326673.36297521,13996774.868239492,1316012.0925173804,13995050.689693728,1317068.7648530686,16405317.019302407,42220061.55799228,3045749.995908687,925307.2115753362,41294824.48195546
2021-05-26,1321223.8235096736,16704069.812100409,1334246.213259537,14153796.173459105,1320824.6335254265,14152126.98317925,1322166.722577116,16716364.532295438,42220062.441054024,3045749.995908687,925307.2115753415,41294824.48161667
2021-05-27,1325713.7469115756,16945016.88065645,1341798.0724681742,14309861.54126947,1325439.614921668,14308262.152906647,1327110.13170459,17029212.910877455,42220063.231168225,3045749.995908687,925307.2115753463,41294824.48161164
2021-05-28,1330044.6297563754,17163016.591521453,1349326.8212188303,14464976.729977753,1329855.4730095468,14463462.774270777,1331898.7250003112,17343786.356271055,42220063.93887225,3045749.995908687,925307.2115753508,41294824.48168191
2021-05-29,1334215.7140294302,17583933.15191904,1356830.3741202606,14619147.475251574,1334071.306879919,14617735.387415744,1336532.5638389385,17660006.39944019,42220064.57337399,3045749.995908687,925307.2115753549,41294824.481919676
2021-05-30,1338178.123414134,17964762.39535495,1364306.672911829,14772379.489873407,1338086.8933957943,14771086.493954388,1341012.0309277633,17977791.90836833,42220065.142742895,3045749.995908687,925307.2115753585,41294824.481589474
